"calculus[Q149972]","algebra[Q3968]"
"organic chemistry[Q11351]","general chemistry[Q909510]"
"algebra[Q3968]","arithmetic[Q11205]"
"Cascading Style Sheets[Q46441]","HTML[Q8811]"
"statistics[Q12483]","probability theory[Q5862903]"
"quantum electrodynamics[Q234881]","calculus[Q149972]"
"quantum electrodynamics[Q234881]","special relativity[Q11455]"
"algorithm[Q8366]","data structure[Q175263]"
"Linux kernel[Q14579]","Linux[Q388]"
"Linux kernel[Q14579]","C[Q15777]"
"set theory[Q12482]","logic[Q8078]"
"set theory[Q12482]","formal logic[Q1003009]"
"MySQL[Q850]","SQL[Q47607]"
"differential equation[Q11214]","calculus[Q149972]"
"astrodynamics[Q842433]","calculus[Q149972]"
"jet propulsion[Q3522973]","calculus[Q149972]"
"jet propulsion[Q3522973]","mechanics[Q41217]"
"jet propulsion[Q3522973]","thermodynamics[Q11473]"
"structural engineering[Q633538]","statics[Q169019]"
"circuit theory[Q2089905]","calculus[Q149972]"
"signal processing[Q208163]","calculus[Q149972]"
"communication system[Q31479975]","signal processing[Q208163]"
"control system[Q959968]","signal processing[Q208163]"
"digital signal processing[Q173142]","signal processing[Q208163]"
"digital signal processing[Q173142]","linear algebra[Q82571]"
"signal processing[Q208163]","probability theory[Q5862903]"
"analog-to-digital converter[Q190169]","semiconductor[Q11456]"
"analog-to-digital converter[Q190169]","circuit theory[Q2089905]"
"analog-to-digital converter[Q190169]","digital circuit[Q2974105]"
"semiconductor[Q11456]","digital circuit[Q2974105]"
"semiconductor[Q11456]","circuit theory[Q2089905]"
"semiconductor[Q11456]","electromagnetism[Q11406]"
"programmable logic device[Q1063837]","digital circuit[Q2974105]"
"processor design[Q1303814]","digital circuit[Q2974105]"
"special relativity[q11455]","algebra[q3968]"
"special relativity[q11455]","calculus[q149972]"
"special relativity[q11455]","linear algebra[q82571]"
"floating point[Q117879]","discrete mathematics[Q121416]"
"program optimization[Q1156793]","computer programming[Q80006]"
"measure theory[Q14514122]","set theory[q12482]"
"macroeconomics[Q39680]","microeconomics[Q39072]"
"macroeconomics[Q39680]","calculus[q149972]"
"Microsoft SQL Server[Q215819]","SQL[Q47607]"
"engineering analysis[Q5377869]","calculus[q149972]"
"engineering analysis[Q5377869]","linear algebra[q82571]"
"communication network[Q13425103]","signal processing[q208163]"
"SQL dialect[Q112889106]","SQL[Q47607]"
"complex number[Q11567]","Taylor series[Q131187]"
"data compression[Q2493]","signal processing[q208163]"
"data compression[Q2493]","linear algebra[q82571]"
"artificial neural network[Q192776]","linear algebra[q82571]"
"artificial neural network[Q192776]","calculus[q149972]"
"expert system[Q184609]","logic[q8078]"
"expert system[Q184609]","computer programming[Q80006]"
"VHDL[Q209455]","digital circuit[q2974105]"
"data recovery[Q1054772]","calculus[q149972]"
"data recovery[Q1054772]","control system[q959968]"
"neutron[Q2348]","nuclear physics[Q81197]"
"neutron[Q2348]","multivariable calculus[Q2035437]"
"neutron[Q2348]","differential calculus[Q149999]"
"neutron[Q2348]","differential equation[q11214]"
"Swing[Q859221]","Java[Q251]"
"sensory neuroscience[Q7451136]","hearing[Q160289]"
"sensory neuroscience[Q7451136]","speech[Q52946]"
"sensory neuroscience[Q7451136]","neuroscience[Q207011]"
"PIC microcontroller[Q650553]","embedded system[Q193040]"
"Oracle Database[Q185524]","SQL[Q47607]"
"GNU C Compiler[Q105514255]","C++[Q2407]"
"linear algebra[q82571]","algebra[q3968]"
"debugging[Q845566]","C++[Q2407]"
"support vector machine[Q282453]","linear algebra[q82571]"
"engineering[Q11023]","algebra[q3968]"
"Roblox[Q692989]","Lua[Q207316]"
"SQLite[Q319417]","SQL[Q47607]"
"Linux kernel[Q14579]","Linux[Q388]"
"Linux kernel[Q14579]","C[Q15777]"