idx,row,score,head,tail_label,in_validation,in_testing
6194,6194,-0.4849664568901062,Q80006_Computer_programming,Q8366_Algorithm,False,True
3538,3538,-1.406808853149414,Q28865_Python_(programming_language),Q275596_Imperative_programming,False,True
5488,5488,-0.8786458969116211,Q2005_JavaScript,Q68_Computer,False,True
5488,5488,-0.9752253293991089,Q251_Java_(programming_language),Q68_Computer,False,True
2431,2431,-1.0058934688568115,Q251_Java_(programming_language),Q175263_Data_structure,False,True
295,295,-1.6932543516159058,Q251_Java_(programming_language),Q1034415_Scope_(computer_science),True,False
4512,4512,-1.8136855363845825,Q251_Java_(programming_language),Q47506_Compiler,False,True
6534,6534,-0.7818993926048279,Q47607_SQL,Q9143_Programming_language,False,True
6283,6283,-0.987079918384552,Q47607_SQL,Q8513_Database_management_system,False,True
1736,1736,-1.0752928256988525,Q483639_Cloud_computing,Q1301371_Computer_network,True,False
4525,4525,-1.4482178688049316,Q850_MySQL,Q47607_SQL,True,False
3039,3039,-0.5454407334327698,Q79872_Object-oriented_programming,Q21198_Computer_science,True,False
6030,6030,-0.5874592661857605,Q79872_Object-oriented_programming,Q80006_Computer_programming,True,False
3100,3100,-1.5233936309814453,Q79872_Object-oriented_programming,Q216601_Object_(computer_science),True,False
3155,3155,-1.5833442211151123,Q79872_Object-oriented_programming,Q223335_Structured_programming,True,False
4338,4338,-0.9375338554382324,Q1301371_Computer_network,Q42848_Data,False,True
5867,5867,-1.6754661798477173,Q1049878_Database_design,Q755662_Relational_model,False,True
5488,5488,-0.6126422882080078,Q11660_Artificial_intelligence,Q68_Computer,True,False
913,913,-0.8666088581085205,Q11660_Artificial_intelligence,Q11216_Numerical_analysis,False,True
3381,3381,-1.5910050868988037,Q3510521_Computer_security,Q2526135_Security,False,True
1929,1929,-1.3657519817352295,Q844240_Computer_vision,Q141495_Mathematical_optimization,True,False
4137,4137,-1.6467145681381226,Q844240_Computer_vision,Q378859_Pattern_recognition,True,False
6194,6194,-0.6350315809249878,Q80993_Software_engineering,Q8366_Algorithm,False,True
6243,6243,-2.052081823348999,Q80993_Software_engineering,Q845566_Debugging,False,True
2452,2452,-1.0304814577102661,Q141495_Mathematical_optimization,Q176623_Random_variable,False,True
6136,6136,-1.1799348592758179,Q141495_Mathematical_optimization,Q82571_Linear_algebra,False,True
6024,6024,-0.8772768974304199,Q638608_Software_development,Q79872_Object-oriented_programming,True,False
356,356,-1.6364853382110596,Q193076_Functional_programming,Q1051282_Generic_programming,False,True
6428,6428,-1.806056261062622,Q46441_Cascading_Style_Sheets,Q8811_HTML,False,True
4525,4525,-1.8554801940917969,Q215819_Microsoft_SQL_Server,Q47607_SQL,True,False
6534,6534,-0.6868746280670166,Q264164_Recursion_(computer_science),Q9143_Programming_language,True,False
1526,1526,-1.0547045469284058,Q131476_Graph_theory,Q117801_Computational_science,False,True
4078,4078,-1.6170294284820557,Q131476_Graph_theory,Q363874_Graph_(mathematics),True,False
3039,3039,-0.8785699009895325,Q380679_Dynamic_programming,Q21198_Computer_science,False,True
4207,4207,-0.9096429347991943,Q380679_Dynamic_programming,Q395_Mathematics,False,True
4622,4622,-1.518477201461792,Q207440_Hash_table,Q494756_Data_(computing),True,False
5488,5488,-0.5071134567260742,Q2539_Machine_learning,Q68_Computer,False,True
6631,6631,-0.9651927947998047,Q2539_Machine_learning,Q938438_Statistical_inference,False,True
2870,2870,-1.1419765949249268,Q2539_Machine_learning,Q200125_Expected_value,True,False
2431,2431,-1.26170015335083,Q193351_Data_warehouse,Q175263_Data_structure,False,True
2931,2931,-0.8121592402458191,Q180634_Distributed_computing,Q205084_Computational_complexity_theory,True,False
2453,2453,-1.601723551750183,Q12483_Statistics,Q176640_Randomness,True,False
2504,2504,-0.7808442115783691,Q8366_Algorithm,Q179310_Computing,False,True
6113,6113,-1.072575569152832,Q8366_Algorithm,Q818888_Computability,True,False
6194,6194,-0.567755401134491,Q30642_Natural_language_processing,Q8366_Algorithm,True,False
3394,3394,-0.713347852230072,Q30642_Natural_language_processing,Q2539_Machine_learning,False,True
6534,6534,-1.3340598344802856,Q857102_Software_design,Q9143_Programming_language,True,False
3378,3378,-1.6902729272842407,Q857102_Software_design,Q251_Java_(programming_language),True,False
6217,6217,-2.5957870483398438,Q170519_Virtual_reality,Q839721_Interactivity,False,True
4525,4525,-1.6649255752563477,Q319417_SQLite,Q47607_SQL,False,True
4460,4460,-2.1167407035827637,Q135707_User_interface_design,Q47146_User_interface,True,False
2504,2504,-1.2272082567214966,Q9135_Operating_system,Q179310_Computing,True,False
3039,3039,-1.1256318092346191,Q215206_NP-complete,Q21198_Computer_science,True,False
2799,2799,-1.9602173566818237,Q47506_Compiler,Q194152_Parsing,True,False
4207,4207,-0.9678460955619812,Q76592_Combinatorics,Q395_Mathematics,False,True
4770,4770,-1.9321599006652832,Q1192422_Pipeline_(computing),Q5300_Central_processing_unit,True,False
4622,4622,-1.49276602268219,Q184754_String_(computer_science),Q494756_Data_(computing),False,True
6194,6194,-0.8420895934104919,Q583461_Randomized_algorithm,Q8366_Algorithm,True,False
2452,2452,-1.0652445554733276,Q583461_Randomized_algorithm,Q176623_Random_variable,False,True
2754,2754,-0.9687378406524658,Q192588_Relational_database_management_system,Q192588_Relational_database_management_system,True,False
2718,2718,-1.2515230178833008,Q14001_Malware,Q189900_Information_security,True,False
6175,6175,-1.0298402309417725,Q21198_Computer_science,Q833585_Foundations_of_mathematics,True,False
1667,1667,-1.3021693229675293,Q21198_Computer_science,Q12479_Number_theory,True,False
4207,4207,-1.084601640701294,Q9492_Probability,Q395_Mathematics,False,True
3848,3848,-1.6804454326629639,Q2271421_Sentiment_analysis,Q30642_Natural_language_processing,False,True
3811,3811,-2.224670171737671,Q2271421_Sentiment_analysis,Q302088_Document_classification,False,True
1736,1736,-1.3245506286621094,Q193424_Web_service,Q1301371_Computer_network,False,True
6217,6217,-2.4134738445281982,Q207434_Human-computer_interaction,Q839721_Interactivity,True,False
3100,3100,-1.7004075050354004,Q755662_Relational_model,Q216601_Object_(computer_science),False,True
6194,6194,-1.9466575384140015,Q2835898_Distributed_algorithms,Q8366_Algorithm,False,True
6534,6534,-1.746470332145691,Q573952_Lazy_evaluation,Q9143_Programming_language,False,True
3963,3963,-0.9026054739952087,Q2914952_Concurrency_control,Q333464_Analysis_of_algorithms,True,False
1929,1929,-1.5514346361160278,Q202843_Linear_programming,Q141495_Mathematical_optimization,False,True
2718,2718,-1.241487741470337,Q8789_Cryptography,Q189900_Information_security,True,False
4035,4035,-1.3129587173461914,Q8789_Cryptography,Q3510521_Computer_security,False,True
4622,4622,-1.0053749084472656,Q8513_Database_management_system,Q494756_Data_(computing),False,True
5488,5488,-1.0924499034881592,Q166142_Application_software,Q68_Computer,False,True
4338,4338,-1.0981009006500244,Q812534_Bayesian_probability,Q42848_Data,True,False
2452,2452,-1.1327097415924072,Q812534_Bayesian_probability,Q176623_Random_variable,True,False
6194,6194,-0.8231678009033203,Q79798_Machine_translation,Q8366_Algorithm,False,True
3497,3497,-2.3655989170074463,Q374195_Newton's_method,Q27058_Approximation,True,False
6661,6661,-1.243956446647644,Q938438_Statistical_inference,Q9492_Probability,True,False
3514,3514,-1.9343593120574951,Q676835_Recursively_enumerable_set,Q272404_Finite_set,True,False
3039,3039,-0.8785408735275269,Q165436_Assembly_language,Q21198_Computer_science,True,False
6534,6534,-1.0016257762908936,Q165436_Assembly_language,Q9143_Programming_language,False,True
3782,3782,-2.4494519233703613,Q1303814_processor_design,Q2974105_Digital_Circuit_Design,False,True
1736,1736,-1.436938762664795,Q81414_Internet_Protocol_Suite,Q1301371_Computer_network,False,True
1911,1911,-2.1227200031280518,Q477202_Cryptographic_hash_function,Q141090_Encryption,False,True
4207,4207,-1.0036674737930298,Q149972_Calculus,Q395_Mathematics,False,True
2028,2028,-1.5266287326812744,Q11214_Differential_equation,Q149972_Calculus,False,True
2984,2984,-2.345986843109131,Q959968_control_system,Q208163_Signal_processing,True,False
2984,2984,-1.738036036491394,Q173142_digital_signal_processing,Q208163_Signal_processing,False,True
3782,3782,-2.287397623062134,Q1063837_programmable_logic_device,Q2974105_Digital_Circuit_Design,True,False
2028,2028,-1.5538002252578735,Q5377869_engineering_analysis,Q149972_Calculus,False,True
6030,6030,-1.1851543188095093,Q184609_Expert_system,Q80006_Computer_programming,False,True
6058,6058,-1.3140023946762085,Q184609_Expert_system,Q8078_Logic,True,False
2964,2964,-2.307105779647827,Q692989_Roblox,Q207316_Lua,True,False
6374,6374,-1.478145718574524,Q1002535_Geometric_modeling,Q874709_Computational_geometry,True,False
2504,2504,-1.0991078615188599,Q189401_Virtual_memory,Q179310_Computing,True,False
820,820,-2.5061376094818115,Q336038_Wireless_sensor_network,Q11024_Communication,True,False
2452,2452,-1.0448142290115356,Q1143367_Graphical_model,Q176623_Random_variable,True,False
6661,6661,-1.0622763633728027,Q1143367_Graphical_model,Q9492_Probability,True,False
3039,3039,-0.9155688285827637,Q2393193_Time_complexity,Q21198_Computer_science,True,False
4981,4981,-1.202043890953064,Q44455_Game_theory,Q5862903_Probability_theory,True,False
1929,1929,-1.3931509256362915,Q44455_Game_theory,Q141495_Mathematical_optimization,False,True
6030,6030,-0.9658234715461731,Q271680_Software_framework,Q80006_Computer_programming,True,False
3039,3039,-1.1555758714675903,Q621751_Approximation_algorithm,Q21198_Computer_science,True,False
6534,6534,-1.2688236236572266,Q1034415_Scope_(computer_science),Q9143_Programming_language,False,True
6283,6283,-1.9813989400863647,Q339072_Database_normalization,Q8513_Database_management_system,True,False
5488,5488,-1.054242730140686,Q874709_Computational_geometry,Q68_Computer,True,False
1526,1526,-1.0864835977554321,Q874709_Computational_geometry,Q117801_Computational_science,False,True
2589,2589,-1.0609852075576782,Q751443_Pushdown_automaton,Q184754_String_(computer_science),True,False
6531,6531,-1.5127558708190918,Q751436_Inter-process_communication,Q9135_Operating_system,False,True
2718,2718,-1.1929664611816406,Q897511_Cryptanalysis,Q189900_Information_security,False,True
3039,3039,-1.391139268875122,Q762268_Automatic_programming,Q21198_Computer_science,False,True
6175,6175,-1.5120028257369995,Q4055684_Predicate_logic,Q833585_Foundations_of_mathematics,False,True
3039,3039,-0.9764487743377686,Q1087987_Parallel_algorithm,Q21198_Computer_science,True,False
4084,4084,-2.717607021331787,Q2916098_Autonomous_robot,Q366872_Motion_planning,True,False
1851,1851,-1.633841872215271,Q176737_Stochastic_process,Q1363085_Randomization,False,True
2326,2326,-2.0438718795776367,Q176737_Stochastic_process,Q170058_Continuous_function,False,True
3100,3100,-1.600387454032898,Q212542_Inheritance_(object-oriented_programming),Q216601_Object_(computer_science),False,True
6534,6534,-0.8743928670883179,Q845739_Query_language,Q9143_Programming_language,False,True
2870,2870,-2.3545801639556885,Q184316_PageRank,Q200125_Expected_value,False,True
3039,3039,-0.826127827167511,Q369472_Computational_chemistry,Q21198_Computer_science,True,False
6194,6194,-0.8635542988777161,Q369472_Computational_chemistry,Q8366_Algorithm,False,True
5488,5488,-1.1379222869873047,Q192903_Arithmetic_logic_unit,Q68_Computer,False,True
2326,2326,-2.3620870113372803,Q216861_Calculus_of_variations,Q170058_Continuous_function,False,True
6534,6534,-1.147965431213379,Q163468_Prolog,Q9143_Programming_language,False,True
3039,3039,-0.9394984245300293,Q580427_Index_(database),Q21198_Computer_science,True,False
1267,1267,-0.8456198573112488,Q170978_Robotics,Q11660_Artificial_intelligence,False,True
5850,5850,-2.7718894481658936,Q127879_Message_Passing_Interface,Q751436_Inter-process_communication,False,True
4338,4338,-0.8805575966835022,Q210832_Statistical_hypothesis_testing,Q42848_Data,True,False
6631,6631,-1.2359415292739868,Q210832_Statistical_hypothesis_testing,Q938438_Statistical_inference,False,True
6661,6661,-1.2646324634552002,Q944_Quantum_mechanics,Q9492_Probability,False,True
2326,2326,-2.4961929321289062,Q944_Quantum_mechanics,Q170058_Continuous_function,False,True
4386,4386,-1.6615866422653198,Q1050404_Sparse_matrix,Q44337_Matrix_(mathematics),True,False
913,913,-1.8860433101654053,Q2321565_Iterative_method,Q11216_Numerical_analysis,True,False
2461,2461,-1.5438212156295776,Q1401416_Computer_animation,Q176953_Rendering_(computer_graphics),False,True
4544,4544,-1.5639863014221191,Q1401416_Computer_animation,Q478798_Image,True,False
2237,2237,-1.8176625967025757,Q175869_Microcode,Q165436_Assembly_language,True,False
910,910,-1.6504240036010742,Q271977_Partial_differential_equation,Q11214_Differential_equation,True,False
3082,3082,-2.5226237773895264,Q1058754_Shortest_path_problem,Q215206_NP-complete,False,True
295,295,-1.6005386114120483,Q34010_Haskell_(programming_language),Q1034415_Scope_(computer_science),False,True
6534,6534,-0.9932442903518677,Q132874_Lisp_(programming_language),Q9143_Programming_language,True,False
2870,2870,-1.4866337776184082,Q205692_Poisson_distribution,Q200125_Expected_value,True,False
6355,6355,-0.8584200739860535,Q275596_Imperative_programming,Q868299_Control_flow,False,True
2004,2004,-2.404536485671997,Q275596_Imperative_programming,Q1474542_Higher-order_function,False,True
2608,2608,-1.719828486442566,Q835922_Lexical_analysis,Q185612_Regular_expression,True,False
5855,5855,-2.213071346282959,Q835922_Lexical_analysis,Q752532_Regular_language,False,True
3039,3039,-1.4921091794967651,Q925667_Computer_simulation,Q21198_Computer_science,True,False
4207,4207,-1.052123785018921,Q910404_Random_graph,Q395_Mathematics,False,True
1755,1755,-1.1894768476486206,Q910404_Random_graph,Q131476_Graph_theory,False,True
6030,6030,-1.058978796005249,Q9820_C++,Q80006_Computer_programming,True,False
2237,2237,-2.7166383266448975,Q1325106_Compiler_optimization,Q165436_Assembly_language,False,True
5488,5488,-1.7660189867019653,Q16338_Personal_computer,Q68_Computer,True,False
6531,6531,-1.5302507877349854,Q623276_Deadlock,Q9135_Operating_system,False,True
2766,2766,-2.686354160308838,Q623276_Deadlock,Q192969_Computer_multitasking,True,False
913,913,-1.2938371896743774,Q220184_Finite_element_method,Q11216_Numerical_analysis,False,True
2431,2431,-1.1930252313613892,Q331716_Amortized_analysis,Q175263_Data_structure,True,False
3039,3039,-0.695701003074646,Q746242_P_versus_NP_problem,Q21198_Computer_science,True,False
1672,1672,-0.6901185512542725,Q333464_Analysis_of_algorithms,Q12525525_Computation,True,False
1125,1125,-0.9065606594085693,Q333464_Analysis_of_algorithms,Q1141518_Introduction_to_Algorithms,True,False
5914,5914,-1.024199366569519,Q333464_Analysis_of_algorithms,Q76592_Combinatorics,True,False
2488,2488,-1.2891943454742432,Q333464_Analysis_of_algorithms,Q178377_Mathematical_induction,True,False
4207,4207,-1.553127408027649,Q217608_Fixed_point_(mathematics),Q395_Mathematics,False,True
3981,3981,-1.8811419010162354,Q37437_Syntax,Q33742_Natural_language,False,True
4207,4207,-0.7592333555221558,Q2878974_Theoretical_computer_science,Q395_Mathematics,False,True
2718,2718,-1.9248442649841309,Q212108_Authentication,Q189900_Information_security,True,False
3039,3039,-1.6078646183013916,Q1890437_Symbol_table,Q21198_Computer_science,True,False
1671,1671,-1.2303369045257568,Q28113351_Inequality_(mathematics),Q12503_Integer,False,True
2451,2451,-1.0151640176773071,Q194152_Parsing,Q176452_Finite-state_machine,False,True
2401,2401,-1.569567084312439,Q352090_CPU_cache,Q173212_Computer_architecture,True,False
3039,3039,-1.01832115650177,Q188267_Programming_paradigm,Q21198_Computer_science,False,True
2431,2431,-1.1701645851135254,Q188267_Programming_paradigm,Q175263_Data_structure,True,False
4439,4439,-2.556309223175049,Q1332643_Boundary_value_problem,Q465274_Ordinary_differential_equation,True,False
2931,2931,-0.9601133465766907,Q628036_NP_(complexity),Q205084_Computational_complexity_theory,True,False
1789,1789,-2.6746599674224854,Q2068418_Finite_difference,Q1332643_Boundary_value_problem,True,False
5891,5891,-1.6728817224502563,Q2737866_Scientific_visualization,Q7600677_Computer_graphics,False,True
6531,6531,-1.3111776113510132,Q1123036_Scheduling_(computing),Q9135_Operating_system,True,False
6113,6113,-1.8234285116195679,Q752532_Regular_language,Q818888_Computability,False,True
6534,6534,-1.192969799041748,Q7135231_Parametric_polymorphism,Q9143_Programming_language,True,False
6402,6402,-1.7473539113998413,Q7135231_Parametric_polymorphism,Q877977_Variable_(computer_science),True,False
3039,3039,-1.3200336694717407,Q677051_B-tree,Q21198_Computer_science,False,True
2431,2431,-1.4016125202178955,Q677051_B-tree,Q175263_Data_structure,True,False
1217,1217,-1.4803128242492676,Q3502995_Undecidable_problem,Q11538_Mathematical_proof,False,True
2451,2451,-1.4208884239196777,Q163310_Turing_machine,Q176452_Finite-state_machine,False,True
3071,3071,-1.445073127746582,Q163310_Turing_machine,Q214526_Automata_theory,False,True
3963,3963,-1.458480715751648,Q1049183_Formal_methods,Q333464_Analysis_of_algorithms,True,False
4207,4207,-0.8452961444854736,Q3478658_Knowledge_representation_and_reasoning,Q395_Mathematics,True,False
6030,6030,-1.182218074798584,Q844565_Transaction_processing,Q80006_Computer_programming,False,True
3737,3737,-2.538994550704956,Q844565_Transaction_processing,Q2914952_Concurrency_control,False,True
3981,3981,-2.1013970375061035,Q1271424_Part-of-speech_tagging,Q33742_Natural_language,True,False
2452,2452,-1.4364784955978394,Q3403615_Large_deviations_theory,Q176623_Random_variable,True,False
820,820,-1.8563936948776245,Q132364_Communications_protocol,Q11024_Communication,True,False
6661,6661,-1.146674633026123,Q176769_Hidden_Markov_model,Q9492_Probability,False,True
2870,2870,-1.2909903526306152,Q186290_Correlation_and_dependence,Q200125_Expected_value,True,False
4981,4981,-1.4191675186157227,Q1188504_Exponential_family,Q5862903_Probability_theory,True,False
6531,6531,-0.7734609246253967,Q1936256_System_programming,Q9135_Operating_system,True,False
2984,2984,-2.211138963699341,Q831390_Wavelet,Q208163_Signal_processing,False,True
1267,1267,-1.3002257347106934,Q11012_Robot,Q11660_Artificial_intelligence,False,True
5910,5910,-1.5050519704818726,Q1025017_Cache_coherence,Q764810_Shared_memory,True,False
3658,3658,-0.8431220054626465,Q205084_Computational_complexity_theory,Q2878974_Theoretical_computer_science,False,True
4011,4011,-0.9675214290618896,Q205084_Computational_complexity_theory,Q3435924_Computational_problem,True,False
5674,5674,-1.8216427564620972,Q205084_Computational_complexity_theory,Q723897_Complexity,False,True
